timestamp,level,source,message,error
2025-11-04T12:20:52,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 23, 'items_added': 43}",
2025-11-04T12:20:52,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-04T12:20:52,ERROR,process_data,Processing failed,'product_name'
2025-11-04T12:22:07,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-04T12:23:37,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-04T12:23:37,INFO,process_data,Guardando dataframes en excel,
2025-11-04T12:23:43,ERROR,process_data,Error uploading data to Supabase,"{'code': '23503', 'details': 'Key (Producto)=(Latte frio) is still referenced from table ""hc_ventas_por_dia_y_producto"".', 'hint': None, 'message': 'update or delete on table ""hc_producto_categoria"" violates foreign key constraint ""fk_vxdyprod_producto"" on table ""hc_ventas_por_dia_y_producto""'}"
2025-11-04T12:25:47,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-04T12:25:47,INFO,process_data,Guardando dataframes en excel,
2025-11-04T12:30:04,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-04T12:30:04,INFO,process_data,Guardando dataframes en excel,
2025-11-06T15:05:12,INFO,main,Pipeline start,
2025-11-06T15:05:22,INFO,update_data_api_fudo,Cargando dataframes,
2025-11-06T15:05:23,INFO,update_data_api_fudo,[Arguibel] Descargando desde sale_id 767,
2025-11-06T15:05:37,INFO,update_data_api_fudo,[Polo] Descargando desde sale_id 1311,
2025-11-06T15:10:00,INFO,update_data_api_fudo,Actualizando items.csv (todas las sucursales),
2025-11-06T15:10:01,INFO,update_data_api_fudo,Actualizando ventas.csv (todas las sucursales),
2025-11-06T15:10:02,INFO,update_data_api_fudo,"Update completed: {'ventas_added': 297, 'items_added': 452}",
2025-11-06T15:10:12,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-06T15:10:12,INFO,process_data,Guardando dataframes en excel,
2025-11-06T15:11:51,INFO,process_data,"Processing completed: {'ventas_rows': 3373, 'items_rows': 8756, 'permanencia_rows': 84, 'generated': ['procesado/items.xlsx', 'procesado/ventas.xlsx', 'procesado/permanencia.xlsx']}",
2025-11-06T15:11:51,INFO,main,Pipeline finished in 398.4s,
2025-11-06T15:57:16,INFO,process_data,Abriendo bases y actualizando metricas,
2025-11-06T15:57:17,INFO,process_data,Guardando dataframes en excel,
